#separator:tab
#html:true
#guid column:1
#notetype column:2
#deck column:3
#tags column:10
d75bQGw1S8	Basic (and reversed card)-b9071	日文文法	形容詞（過去肯定／否定）<div>過去肯定是擺詞尾「い」改成「かっ」再加「た」。否定亦然</div>	この映画は面白くなかった（這部電影不好看）[sound:rec1548781105.mp3]					
j105Aawc+$	Basic (and reversed card)-b9071	日文文法	形容詞くて　［．．．又．．．］	この本は薄くて軽いです（這本書又薄又輕）[sound:rec1548781553.mp3]					
t|K.!8;^[	Basic (and reversed card)-b9071	日文文法	形容詞く+動詞<div>詞尾「い」改成「く」，可以修飾句子裡的動詞</div>	今日は風が強く吹いています（今日刮者強風）[sound:rec1548781786.mp3]					
fI(yG%ResX	Basic (and reversed card)-b9071	日文文法	形容詞＋名詞	小さい家を買いました（買了棟小房子）[sound:rec1548781937.mp3]					
L.HROkbTY1	Basic (and reversed card)-b9071	日文文法	形容詞+の	もっと安いのはありませんか（沒有更便宜的嗎）[sound:rec1548782160.mp3]					
"f0?eGX#pvN"	Basic (and reversed card)-b9071	日文文法	形容動詞（現在肯定／否定）<div>形容動詞具有形容詞和動詞的雙重性格，只是形容詞的詞尾是「だ」。且連接名詞將「だ」變「な」，否定是將「だ」改成「で」再插入「は」最後加「ない」或「ありません」</div>	日曜日の公園は静かです（星期天的公園很安靜）[sound:rec1548783050.mp3]					
dh`L+c8BO)	Basic (and reversed card)-b9071	日文文法	形容動詞（過去肯定／否定）<div>將肯定「だ」改「だっ」＋「た」。</div><div>否定如「静かではない」中的「い」改成「かっ」+「た」</div>	彼女の家は立派ではなかったです（以前她的家並不豪華）[sound:rec1548783580.mp3]					
GB=0v5Jc8M	Basic (and reversed card)-b9071	日文文法	形容動詞で+形容詞	彼女はきれいで優しいです（他又漂亮又溫柔）[sound:rec1548783843.mp3]					
LNGK7)GK|r	Basic (and reversed card)-b9071	日文文法	形容動詞に+動詞	あの子は歌を上手に歌います（那孩子歌唱得很好）[sound:rec1548784039.mp3]					
g2[gA@>8i<	Basic (and reversed card)-b9071	日文文法	形容動詞な+名詞<div>將詞尾「だ」改「な」</div>	真面目な人が好きです(我喜歡認真的人)<div>[sound:rec1548833645.mp3]</div>					
w_{%&rs:CW	Basic (and reversed card)-b9071	日文文法	形容動詞な+の	便利なのがほしいです(我想要方便的)<div>[sound:rec1548833847.mp3]</div>					
rG.[/Ej6O_	Basic (and reversed card)-b9071	日文文法	動詞(現在肯定/否定)	今晩勉強します(今晚要讀書)<div>[sound:rec1548834049.mp3]</div>					
MR4qXrE411	Basic (and reversed card)-b9071	日文文法	動詞(過去肯定/否定)	先週友達に手紙を書きました(上禮拜寫封信給朋友)<div>[sound:rec1548834217.mp3]</div>					
yrNwUzy4t?	Basic (and reversed card)-b9071	日文文法	動詞(普通型)	靴下をはく(穿襪子)<div>[sound:rec1548834373.mp3]</div>					
e&ySyn}g>S	Basic (and reversed card)-b9071	日文文法	動詞+名詞<div>動詞普通型能直接修飾名詞</div>	分からない単語があります(有不懂的單字)[sound:rec1548834653.mp3]<div>食べた人は手を上げてください(有吃的人請舉手)[sound:rec1548834776.mp3]</div>					
GAz3UE@MA,	Basic (and reversed card)-b9071	日文文法	...が+自動詞	"ドアが開きました(門開了)<div>[sound:rec1548835072.mp3]<br>（<span style=""background-color: rgb(128, 255, 7);"">自V</span>）<br>1.<span style=""background-color: rgb(128, 255, 7);"">大自然</span>的現象<br>2.<span style=""background-color: rgb(128, 255, 7);"">人/事/物</span>的<span style=""background-color: rgb(254, 204, 102);"">狀態</span><br></div>"					
I[E<}p!]!?	Basic (and reversed card)-b9071	日文文法	...を+他動詞	棚に荷物をあげました(把行李放在架上了)[sound:rec1548835301.mp3]<div><br /></div>					
v2Ci|TzP+=	Basic (and reversed card)-b9071	日文文法	動詞+て[連接短句]	新宿に行って、映画を見ます(去新宿看電影)<div>[sound:rec1548835492.mp3]</div>					
cVQhC!:z9d	Basic (and reversed card)-b9071	日文文法	動詞+て[時間順序]	靴を履いて外にでます(穿上鞋子後外出)<div>[sound:rec1548835842.mp3]</div>					
h=|-F8*Ymv	Basic (and reversed card)-b9071	日文文法	動詞+て[方法,手段]	ネットを使って、調べます(用網路搜查)<div>[sound:rec1548836191.mp3]<br /><div><br /></div></div>					
f7D74_8z=B	Basic (and reversed card)-b9071	日文文法	動詞+て[原因]	お金がなくて、困っています(沒有錢很煩惱)[sound:rec1548836435.mp3]<div><br /></div>					
