front,back,sentence,tags,deck
美人,「びじん」美女,,日文單字N5-N1,日文單字N5-N1
筆記,「ひっき」名：筆記,,日文N1單字,日文N1單字
日付,「ひづけ」日期,,日文單字N5-N1,日文單字N5-N1
人差し指,「ひとさしゆび」 名：食指大拇指：親指　[おやゆび]中指：中指　[なかゆび]無名指：薬指　[くすりゆび]小指：小指　[こゆび],,日文N2單字,日文N2單字
人々,"「ひとびと」人們,每個人",,日文單字N5-N1,日文單字N5-N1
一人息子,「ひとりむすこ」獨生子,,日文單字N5-N1,日文單字N5-N1
一人娘,「ひとりむすめ」獨生女,,日文單字N5-N1,日文單字N5-N1
紐,"「ひも」細繩,帶子",,日文單字N5-N1,日文單字N5-N1
表,"「ひょう」表,表格,圖表",,日文單字N5-N1,日文單字N5-N1
費用,「ひよう」費用,,日文單字N5-N1,日文單字N5-N1
美容,「びよう」美容,,日文單字N5-N1,日文單字N5-N1
表現,「ひょうげん」表現,,日文單字N5-N1,日文單字N5-N1
表紙,「ひょうし」封面,,日文單字N5-N1,日文單字N5-N1
表情,「ひょうじょう」表情,,日文單字N5-N1,日文單字N5-N1
表面,「ひょうめん」表面,,日文單字N5-N1,日文單字N5-N1
昼寝,「ひるね」午覺,,日文單字N5-N1,日文單字N5-N1
瓶詰め,「びんづめ」瓶裝罐頭,,日文單字N5-N1,日文單字N5-N1
風景,「ふうけい」風景,,日文單字N5-N1,日文單字N5-N1
夫婦,「ふうふ」夫妻,,日文單字N5-N1,日文單字N5-N1
部下,"「ぶか」部下,屬下",,日文單字N5-N1,日文單字N5-N1
不合格,「ふごうかく」名：不合格,,日文N3單字,日文N3單字
夫妻,「ふさい」夫妻,,日文單字N5-N1,日文單字N5-N1
ふた,蓋子,,日文單字N5-N1,日文單字N5-N1
舞台,「ぶたい」舞台,,日文單字N5-N1,日文單字N5-N1
縁,「ふち」名：邊，緣；框；簷；旁側。湖の縁に立つ。／站在湖邊。落としたペンを拾おうとして、机の縁に頭がぶつけてしまった。正在撿掉落的筆，頭撞到桌子的邊緣。彼女は泣いていたのか、目の縁があかくなっている。她是不是哭過了呢？眼眶都紅了。,,日文N1單字,日文N1單字
物価,「ぶっか」物價,,日文單字N5-N1,日文單字N5-N1
物理,「ぶつり」物理,,日文單字N5-N1,日文單字N5-N1
部品,「ぶひん」零件,,日文單字N5-N1,日文單字N5-N1
